"Line Name","Line External Id","Est. Impressions","Number of Screens","Number of Venues","Start Date","End Date","Creative Type","Creative Format","Publishers","Currency","Min Price Range","Max Price Range","Max Bid","Budget"
"Sepulveda Basin Recreation Area",,"4710000","496","379","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1600x1200,1280x800,5760x720","Rockbot,AdXcelerant,GSTV,Fuel Media,KeyMe,AdStash,NRS Digital Media,Smartify Media,Vengo Media,Terraboost,Pursuant Health,Loop TV,Atmosphere,Volta Media (Shell),Screenverse,Western Union,Zoom Media/GymTV US,CVIEW Network,Outcome Health,Trooh,Captivate USA,TVM Sweden,adFUZE,True Sync Media","USD","6.69","22.3","22.3","50000"
"Dodger Stadium",,"5130000","1538","1127","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1400x400,1920x960,1600x1200,1080x1486,1200x1920,5760x720","Intersection,GSTV,Fuel Media,AdStash,Dolphin Digital LLC,NRS Digital Media,Taiv Inc.,Smartify Media,KeyMe,Western Union,Starlite,Vengo Media,AdXcelerant,Terraboost,Rockbot,Loop TV,Atmosphere,adFUZE,Branded Cities,The Great Outdoor,kevani,Volta Media (Shell),Screenverse,Public Art,Zoom Media/GymTV US,CVIEW Network,Outcome Health,Trooh,Captivate USA,Screenverse + Vertical Impression,Finch Network,TVM Sweden,Clear Channel Outdoor","USD","6.69","44.6","44.59","50000"
"Peacock Theater",,"5230000","1763","1315","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1400x400,1920x960,1600x1200,1080x1486,1200x1920,5760x720","Intersection,Smartify Media,GSTV,Fuel Media,AdStash,Dolphin Digital LLC,NRS Digital Media,Taiv Inc.,KeyMe,Western Union,Starlite,Vengo Media,AdXcelerant,Terraboost,Rockbot,Loop TV,Atmosphere,adFUZE,Branded Cities,The Great Outdoor,kevani,Volta Media (Shell),Screenverse,Public Art,Zoom Media/GymTV US,CVIEW Network,Outcome Health,Trooh,Captivate USA,Screenverse + Vertical Impression,Finch Network,TVM Sweden,Clear Channel Outdoor,Corner Media","USD","6.69","44.6","44.59","50000"
"Crypto.com Arena",,"5240000","1771","1317","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1400x400,1920x960,1600x1200,1080x1486,1200x1920,5760x720","Intersection,Smartify Media,GSTV,Fuel Media,AdStash,Dolphin Digital LLC,NRS Digital Media,Taiv Inc.,KeyMe,Western Union,Starlite,Vengo Media,AdXcelerant,Terraboost,Rockbot,Loop TV,Atmosphere,adFUZE,Branded Cities,The Great Outdoor,kevani,Volta Media (Shell),Screenverse,Public Art,Zoom Media/GymTV US,CVIEW Network,Outcome Health,Trooh,Captivate USA,Screenverse + Vertical Impression,Finch Network,TVM Sweden,Clear Channel Outdoor,Corner Media","USD","6.69","44.6","44.59","50000"
"Venice Beach",,"5350000","281","204","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1600x1200,1080x1486,1200x1920,5760x720","Intersection,Fuel Media,AdStash,NRS Digital Media,Smartify Media,KeyMe,Vengo Media,Terraboost,Atmosphere,AdXcelerant,Volta Media (Shell),Western Union,Zoom Media/GymTV US,CVIEW Network,Outcome Health,Loop TV,Captivate USA,Screenverse,TVM Sweden,Taiv Inc.,Finch Network,adFUZE,Dolphin Digital LLC","USD","6.69","14.87","14.86","50000"
"USC Sports Center",,"5200000","1293","910","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1400x400,1600x1200,1200x400,1080x1486,5760x720","Intersection,Smartify Media,GSTV,Fuel Media,AdStash,Dolphin Digital LLC,NRS Digital Media,AdXcelerant,KeyMe,Starlite,Vengo Media,Taiv Inc.,Terraboost,Atmosphere,Rockbot,Loop TV,WOW Media,New Tradition,Adkom,kevani,Volta Media (Shell),Western Union,Zoom Media/GymTV US,Outcome Health,Trooh,Captivate USA,Screenverse + Vertical Impression,Screenverse,TVM Sweden,Finch Network,adFUZE,Clear Channel Outdoor,Corner Media","USD","6.69","44.6","44.59","50000"
"Universal Studios Lot",,"5040000","922","680","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1400x400,1152x476,1600x1200,1200x1920,1280x800,5760x1080,1836x432,5760x720","Intersection,AdXcelerant,GSTV,Fuel Media,New Tradition,AdStash,Dolphin Digital LLC,NRS Digital Media,Smartify Media,KeyMe,Vengo Media,Terraboost,Rockbot,Pursuant Health,Taiv Inc.,Simon Media & Experiences,Loop TV,Liquid Group,Atmosphere,Clear Channel Outdoor,The Great Outdoor,kevani,Orange Barrel Media,Starlite,Volta Media (Shell),Screenverse,Western Union,Zoom Media/GymTV US,Outcome Health,Captivate USA,CEN Media Group,TVM Sweden,Finch Network,adFUZE,Screenverse + Vertical Impression,Corner Media","USD","6.69","89.19","89.18","50000"
"Dignity Health Sports Park",,"5150000","549","389","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1400x400,1600x1200,1080x1486,1200x1920,5760x720","Intersection,Smartify Media,Fuel Media,AdStash,Dolphin Digital LLC,NRS Digital Media,AdXcelerant,KeyMe,Vengo Media,Terraboost,Pursuant Health,Loop TV,Atmosphere,Clear Channel Outdoor,New Tradition,Adkom,Volta Media (Shell),Western Union,Zoom Media/GymTV US,Rockbot,Outcome Health,Trooh,Screenverse + Vertical Impression,Screenverse,TVM Sweden,adFUZE,Taiv Inc.,Captivate USA","USD","6.69","17.84","17.84","50000"
"Long Beach",,"5280000","643","457","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1400x400,1600x1200,1080x1486,1200x1920,5760x720","Rockbot,Intersection,AdXcelerant,Smartify Media,Fuel Media,AdStash,Dolphin Digital LLC,NRS Digital Media,KeyMe,Vengo Media,Terraboost,Pursuant Health,Atmosphere,Clear Channel Outdoor,Starlite,Volta Media (Shell),Screenverse,Western Union,Zoom Media/GymTV US,CVIEW Network,Outcome Health,Loop TV,Captivate USA,TVM Sweden,Taiv Inc.,Finch Network,adFUZE,Corner Media","USD","6.69","14.87","14.86","50000"
"Honda Center",,"5110000","825","586","07/10/2028","07/31/2028","video,image","1920x1080,1080x1920,1400x400,1600x1200,5760x720","GSTV,Fuel Media,AdStash,Dolphin Digital LLC,NRS Digital Media,AdXcelerant,KeyMe,Western Union,Vengo Media,Terraboost,Pursuant Health,Taiv Inc.,Smartify Media,Loop TV,Atmosphere,Screenverse,Lamar Outdoor,Clear Channel Outdoor,Volta Media (Shell),Zoom Media/GymTV US,Rockbot,CVIEW Network,Outcome Health,Trooh,Screenverse + Vertical Impression,Captivate USA,TVM Sweden,Finch Network","USD","6.69","22.3","22.3","50000"
